Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0057948,0.044245,0.0043726,0,0,0,0.63881,0.0014518,2.1581E-05,-7.6039E-05,0.0017544,1.5819E-05,0.0014944,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,arm.STEP-1/rotating plate_1.STEP-1;arm.STEP-1/DM-J4310-2EC-V1.1__3d_20240822_1.stp.STEP-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1,-0.036656,0.24877,0.0017121,0,0,0,0.69727,0.010756,3.3419E-05,2.3151E-07,0.00072038,0.00014462,0.01095,0,0,0,0,0,0,package://arm/meshes/arm_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/arm_link1.STL,,arm.STEP-1/arm1_1.STEP-1;arm.STEP-1/DM-J4310-2EC-V1.1__3d_20240822_1.stp.STEP-1,Origin_joint0,Axis_joint0,joint0,revolute,0,0,0.011635,1.5708,0.70048,0.92194,base_link,0.64459,-0.76453,0,0,12.56,-1.57,1.57,,,,,,,,
arm_link2,-0.1803,0.28553,-0.0137,0,0,0,0.44856,0.0017557,4.4369E-06,-7.1012E-07,0.00042408,-0.00026235,0.00175,0,0,0,0,0,0,package://arm/meshes/arm_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/arm_link2.STL,,arm.STEP-1/arm2 - updated.STEP-1;arm.STEP-1/DM-J4310-2EC-V1.1__3d_20240822_1.stp.STEP-3,Origin_joint1,Axis_joint1,joint1,revolute,-0.1546,0.18337,0,0,0,-1.2473,arm_link1,0.92979,0.36809,0,0,12.57,-2.36,2.36,,,,,,,,
wrist_link1,-0.012917,0.39657,-0.2425,0,0,0,0.28916,0.0010542,-2.351E-08,1.1044E-13,0.00032126,7.1638E-06,0.0011056,0,0,0,0,0,0,package://arm/meshes/wrist_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/wrist_link1.STL,,arm.STEP-1/arm3_1.STEP-1;arm.STEP-1/MG996R_servo.STEP-1,Origin_joint2,Axis_joint2,joint2,revolute,0.061947,0.024524,0,0,1.5708,0,arm_link2,0,0.36809,0.92979,0,120,-3.14,3.14,,,,,,,,
wrist_link2,0.56466,0.10603,0.0069794,0,0,0,0.34435,0.00013834,-1.0164E-19,-3.3466E-07,0.00063583,0,0.00062808,0,0,0,0,0,0,package://arm/meshes/wrist_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/wrist_link2.STL,,arm.STEP-1/arm4_1.STEP-1,Origin_joint3,Axis_joint3,joint3,revolute,0,-0.0042228,-0.010667,-1.5708,0.25151,1.5708,wrist_link1,0.12512,-0.99214,0,0,7.48,-1.57,1.57,,,,,,,,
wrist_link3,0.0051806,-0.13286,0.69835,0,0,0,0.17519,4.8698E-05,-1.029E-09,1.0133E-06,5.8965E-05,-3.161E-08,3.4997E-05,0,0,0,0,0,0,package://arm/meshes/wrist_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/wrist_link3.STL,,arm.STEP-1/holder_1.STEP-1;arm.STEP-1/Gripper for Unitree G1.stp_1.STEP-1,Origin_joint4,Axis_joint4,joint4,revolute,0.0032086,-0.025443,0,1.885,-1.5708,1.3008,wrist_link2,0,0.99193,0.12677,0,7.48,-2.36,2.36,,,,,,,,
