Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.139E-05,0.0017648,0.02168,0,0,0,0.53613,0.0015219,2.0239E-08,4.0918E-07,0.0013521,-2.6796E-05,0.0017242,0,0,0,0,0,0,package://arm2.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/base_link.STL,,arm.STEP-1/rotating plate.STEP-1,Base_Coords,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1,0.1773,-0.00039417,0.048666,0,0,0,0.5946,0.00069027,3.3446E-05,-0.00014462,0.010726,-2.7335E-07,0.010908,0,0,0,0,0,0,package://arm2.SLDASM/meshes/arm_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/arm_link1.STL,,arm.STEP-1/arm1.STEP-1,Upper_Arm_Coords,,joint0,revolute,0,-0.0475,0.05,-1.5708,-0.87031,0,base_link,0,0,1,0,12.56,-4.26,4.26,,,,,,,,
arm_link2,0.093606,-0.00013859,-0.0074875,0,0,0,0.34589,0.00038206,4.4132E-06,0.00026239,0.0017256,7.3042E-07,0.0017199,0,0,0,0,0,0,package://arm2.SLDASM/meshes/arm_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/arm_link2.STL,,arm.STEP-1/arm2 - updated.STEP-1,Lower_Arm_Coords,,joint1,revolute,0.37,0,0.075,0,0,1.2473,arm_link1,0,0,1,0,12.56,-2.36,2.36,,,,,,,,
wrist1,3.4694E-17,-0.00038502,0.043333,0,0,0,0.25858,0.0010491,-3.8964E-19,-3.3881E-20,0.0010979,7.1638E-06,0.00031674,0,0,0,0,0,0,package://arm2.SLDASM/meshes/wrist1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/wrist1.STL,,arm.STEP-1/arm3.STEP-1,Wrist_Coords,,joint2,revolute,0.185,0,-0.035,0,1.5708,0,arm_link2,0,0,1,0,12.56,-3.14,3.14,,,,,,,,
hand_link,0.047132,1.3323E-15,-0.024979,0,0,0,0.34435,0.00013834,-2.3717E-20,3.3466E-07,0.00063583,-1.3553E-20,0.00062808,0,0,0,0,0,0,package://arm2.SLDASM/meshes/hand_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/hand_link.STL,,arm.STEP-1/arm4.STEP-1,Hand_Coords,,joint3,revolute,-0.0255,0,0.125,1.5708,-1.3193,-1.5708,wrist1,0,0,1,0,7,-2.36,2.36,,,,,,,,
finger_link,0.077446,0.00022018,-0.023819,0,0,0,0.17519,3.4998E-05,7.1554E-08,1.0133E-06,5.8966E-05,-5.8825E-10,4.8699E-05,0,0,0,0,0,0,package://arm2.SLDASM/meshes/finger_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm2.SLDASM/meshes/finger_link.STL,,arm.STEP-1/holder.STEP-1;arm.STEP-1/Gripper for Unitree G1.stp.STEP-1,Finger_Coords,,joint4,revolute,0.1068,0,-0.047,3.1416,0,0,hand_link,0,0,1,0,7,-2.36,2.36,,,,,,,,
