2026-04-04 19:44:49,965 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2026-04-04 19:44:52,226 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link1
2026-04-04 19:44:52,231 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2026-04-04 19:44:52,232 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-04-04 19:44:52,232 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-04-04 19:44:52,249 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-04-04 19:44:52,249 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-04-04 19:44:52,249 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-04-04 19:44:52,249 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-04-04 19:44:53,412 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child arm_link1 failed
2026-04-04 19:44:53,430 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link2
2026-04-04 19:44:53,430 INFO  ExportHelperExtension.cs: 1397 - Fixing components for arm_link1
2026-04-04 19:44:53,430 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2026-04-04 19:44:53,431 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2026-04-04 19:44:53,431 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-04-04 19:44:53,431 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-04-04 19:44:53,446 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-04-04 19:44:53,447 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-04-04 19:44:53,447 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-04-04 19:44:53,448 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-04-04 19:44:54,598 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link1 to child arm_link2 failed
2026-04-04 19:44:54,614 INFO  ExportHelperExtension.cs: 347 - Creating joint wrist1
2026-04-04 19:44:54,615 INFO  ExportHelperExtension.cs: 1397 - Fixing components for arm_link2
2026-04-04 19:44:54,615 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2026-04-04 19:44:54,615 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2026-04-04 19:44:54,616 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2026-04-04 19:44:54,616 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2026-04-04 19:44:54,616 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-04-04 19:44:54,617 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-04-04 19:44:54,635 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-04-04 19:44:54,636 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-04-04 19:44:54,636 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-04-04 19:44:54,637 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-04-04 19:44:55,831 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link2 to child wrist1 failed
2026-04-04 19:44:55,847 INFO  ExportHelperExtension.cs: 347 - Creating joint hand_link
2026-04-04 19:44:55,848 INFO  ExportHelperExtension.cs: 1397 - Fixing components for wrist1
2026-04-04 19:44:55,848 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-04-04 19:44:55,848 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2026-04-04 19:44:55,849 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2026-04-04 19:44:55,849 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2026-04-04 19:44:55,849 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2026-04-04 19:44:55,850 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2026-04-04 19:44:55,850 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-04-04 19:44:55,850 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-04-04 19:44:55,874 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
