Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.9401,0.68999,1.6254,0,0,0,0.69063,0.0019945,1.8393E-19,7.5492E-05,0.0023444,8.2703E-20,0.0018065,0,0,0,0,0,0,package://arm.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/base_link.STL,,rotating plate-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,2.3204E-13,0.19201,0.021452,0,0,0,0.52909,0.0083742,3.3642E-17,-1.0842E-18,0.00067881,-1.2057E-06,0.0085718,0,0,0,0,0,0,package://arm.SLDASM/meshes/shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/shoulder_link.STL,,arm1-1,Origin_joint0,Axis_joint0,joint0,revolute,0.94721,-1.6052,0.73686,1.5708,0.12264,-0.33837,base_link,0,0,1,10,20,-1.57,1.57,,,,,,,,
elbow_link,-0.00040915,0.060791,-0.040286,0,0,0,0.30405,0.001555,8.925E-06,-9.6405E-08,0.00042147,1.4323E-05,0.0014937,0,0,0,0,0,0,package://arm.SLDASM/meshes/elbow_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/elbow_link.STL,,arm2-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0.37,0,0,0,-1.0913,shoulder_link,0,0,1,10,20,-2.35,2.35,,,,,,,,
wrist_link1,8.96158792158541E-05,0.133468259482244,-0.000295926857309836,0,0,0,0.336426291824284,0.00152881099917185,-2.42619306316374E-06,-8.92193965159205E-09,0.00035171540397663,7.04492416304363E-06,0.00158086128910011,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link1.STL,,arm3-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0.07405,-0.04106,0,0.87591,0,elbow_link,0,1,0,10,20,-2.35,2.35,,,,,,,,
wrist_link2,0.053266,1.9073E-12,2.025E-13,0,0,0,0.27316,0.00011138,-2.586E-18,7.2972E-18,0.00044491,3.1306E-18,0.00045088,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link2.STL,,arm4-1,Origin_joint4,Axis_joint4,joint4,revolute,0,0.21394,0,-1.5708,0.19832,1.5708,wrist_link1,0,0,1,10,20,-2.35,2.35,,,,,,,,
wrist_link3,-0.00094552,-0.00036859,0.080166,0,0,0,0.16588,4.4169E-05,-6.4128E-10,1.5924E-06,5.5852E-05,-3.2054E-08,3.238E-05,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm.SLDASM/meshes/wrist_link3.STL,,holder-1;Gripper for Unitree G1.stp-1,Origin_joint,Axis_joint,joint,revolute,0.102,0,0,2.6957,-1.5708,0,wrist_link2,1,0,0,10,20,-2.35,2.35,,,,,,,,
